Crime_id,day_of_week,time_in_queue,town_name,province_name,location_id,year,crime_type,victim_gender,time_of_day
C00014,Sunday,55,Rural,Hawassa,HaRu18569,2010,harassment,F,20
C00027,Friday,314,Rural,Akatsi,AkRu06678,2010,murder,F,14
C00050,Wednesday,76,Rural,Akatsi,AkRu04889,2010,theft,F,14
C00059,Tuesday,240,Rural,Akatsi,AkRu03117,2010,harassment,F,22
C00066,Monday,150,Rural,Hawassa,HaRu20684,2010,severe_assault,F,9
C00084,Sunday,20,Rural,Sokoto,SoRu36681,2010,theft,F,10
C00087,Sunday,20,Rural,Sokoto,SoRu36681,2010,harassment,F,13
C00099,Thursday,205,Rural,Kilimani,KiRu26593,2010,public_intoxication,F,17
C00106,Tuesday,22,Rural,Hawassa,HaRu19986,2010,severe_assault,M,22
C00113,Saturday,454,Cheche,Sokoto,SoCh31914,2010,murder,F,11
C00130,Friday,65,Rural,Akatsi,AkRu07998,2010,harassment,F,18
C00134,Saturday,175,Rural,Sokoto,SoRu38834,2010,harassment,F,18
C00153,Saturday,454,Cheche,Sokoto,SoCh31914,2010,sexual_assault,F,23
C00160,Tuesday,22,Rural,Hawassa,HaRu19986,2010,sexual_assault,F,19
C00173,Wednesday,20,Rural,Sokoto,SoRu36387,2010,murder,F,8
C00177,Friday,314,Rural,Akatsi,AkRu06678,2010,harassment,F,23
C00195,Tuesday,287,Bello,Amanzi,AmBe10940,2010,theft,M,21
C00204,Monday,102,Rural,Kilimani,KiRu28637,2010,sexual_assault,F,23
C00208,Friday,65,Rural,Akatsi,AkRu07998,2010,murder,F,6
C00230,Wednesday,113,Dahabu,Amanzi,AmDa12126,2010,theft,M,21
C00232,Sunday,105,Bello,Amanzi,AmBe11236,2010,severe_assault,M,23
C00237,Friday,287,Rural,Hawassa,HaRu19059,2010,theft,F,9
C00253,Monday,114,Rural,Kilimani,KiRu27809,2010,harassment,F,14
C00280,Saturday,163,Rural,Kilimani,KiRu25447,2010,severe_assault,C,8
C00295,Wednesday,108,Rural,Akatsi,AkRu02821,2010,sexual_assault,F,17
C00315,Sunday,10,Rural,Akatsi,AkRu04315,2010,severe_assault,C,11
C00316,Friday,96,Rural,Akatsi,AkRu08111,2010,sexual_assault,F,21
C00344,Tuesday,38,Rural,Sokoto,SoRu37389,2010,public_intoxication,M,23
C00347,Thursday,196,Bello,Amanzi,AmBe11291,2010,public_intoxication,M,4
C00348,Wednesday,107,Rural,Akatsi,AkRu03668,2010,sexual_assault,F,12
C00354,Wednesday,107,Rural,Akatsi,AkRu03668,2010,theft,C,5
C00366,Tuesday,212,Zuri,Kilimani,KiZu30975,2010,theft,C,4
C00375,Saturday,67,Abidjan,Amanzi,AmAb08983,2010,theft,M,9
C00397,Thursday,22,Rural,Hawassa,HaRu20776,2010,vandalism,F,9
C00399,Monday,182,Rural,Hawassa,HaRu20843,2010,sexual_assault,F,13
C00405,Saturday,142,Rural,Kilimani,KiRu26176,2010,harassment,M,7
C00410,Saturday,340,Zuri,Kilimani,KiZu30891,2010,sexual_assault,F,18
C00418,Thursday,30,Rural,Kilimani,KiRu29063,2010,harassment,F,5
C00423,Friday,156,Rural,Akatsi,AkRu04201,2010,sexual_assault,F,23
C00424,Tuesday,128,Rural,Kilimani,KiRu29075,2010,severe_assault,M,7
C00431,Saturday,191,Rural,Kilimani,KiRu27616,2010,theft,M,11
C00436,Tuesday,128,Rural,Kilimani,KiRu29075,2010,public_intoxication,F,14
C00460,Wednesday,249,Rural,Akatsi,AkRu07457,2010,harassment,F,13
C00490,Thursday,137,Rural,Sokoto,SoRu38815,2010,harassment,F,17
